geometry;ID;code_dpt;nom_dpt;nom_reg;num_circ;code_reg
"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.22424,46.481389],[-6.369936,46.406283],[-6.426549,46.24533],[-6.423533,46.119525],[-6.345967,45.997146],[-6.281707,46.060855],[-6.052617,46.152717],[-6.036846,46.25658],[-5.912311,46.397826],[-6.071201,46.492283],[-6.22424,46.481389]]],[[[-5.25588,45.079992],[-5.294162,45.155329],[-5.49929,45.213919],[-5.661308,44.990053],[-5.63658,44.841215],[-5.455809,44.731365],[-5.34224,44.749876],[-5.180751,44.857796],[-5.167939,45.005317],[-5.25588,45.079992]]]]}";ZA001;ZA;GUADELOUPE;GUADELOUPE;1;1
"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.345967,45.997146],[-6.130212,45.92313],[-5.919608,45.972889],[-5.766479,46.049253],[-5.354081,46.127945],[-5.308994,46.183918],[-5.376566,46.293361],[-5.568666,46.396422],[-5.800657,46.438096],[-5.888828,46.550556],[-5.881232,46.729789],[-5.929735,46.895919],[-6.138233,47.046866],[-6.376239,46.838884],[-6.348995,46.646964],[-6.233597,46.566177],[-6.22424,46.481389],[-6.071201,46.492283],[-5.912311,46.397826],[-6.036846,46.25658],[-6.052617,46.152717],[-6.281707,46.060855],[-6.345967,45.997146]]],[[[-4.64118,46.389049],[-4.619889,46.317906],[-4.459941,46.409638],[-4.483064,46.468242],[-4.64118,46.389049]]]]}";ZA002;ZA;GUADELOUPE;GUADELOUPE;2;1
"{""type"":""Polygon"",""coordinates"":[[[-6.496775,45.607219],[-6.570081,45.911178],[-6.536691,46.059775],[-6.463799,46.052388],[-6.428511,46.19358],[-6.477061,46.233832],[-6.644447,46.177427],[-6.695005,46.293718],[-7.00526,46.422569],[-7.117645,46.506186],[-7.201547,46.482214],[-7.322622,46.346317],[-7.349514,46.173107],[-7.275422,46.016662],[-7.26401,45.884002],[-7.098838,45.858798],[-7.008882,45.633258],[-6.898383,45.622008],[-6.836269,45.548737],[-6.687999,45.512363],[-6.496775,45.607219]]]}";ZA003;ZA;GUADELOUPE;GUADELOUPE;3;1
"{""type"":""Polygon"",""coordinates"":[[[-7.26401,45.884002],[-7.222671,45.680756],[-7.2182,45.422827],[-7.135011,45.245985],[-7.004054,45.102528],[-6.993157,45.028635],[-6.688799,45.106625],[-6.656809,45.170586],[-6.506617,45.293926],[-6.453776,45.395575],[-6.496775,45.607219],[-6.687999,45.512363],[-6.836269,45.548737],[-6.898383,45.622008],[-7.008882,45.633258],[-7.098838,45.858798],[-7.26401,45.884002]]]}";ZA004;ZA;GUADELOUPE;GUADELOUPE;4;1
"{""type"":""MultiPolygon"",""coordinates"":[[[[2.694526,40.76195],[2.52828,40.878497],[2.313361,40.855757],[2.154585,40.897335],[2.162808,41.015782],[2.008498,41.157145],[1.79391,41.020754],[1.751375,40.794147],[2.005339,40.867081],[2.155324,40.762679],[2.507776,40.707168],[2.694526,40.76195]]],[[[2.796081,40.616752],[2.931509,40.519372],[2.989013,40.632032],[2.925012,40.726185],[2.796081,40.616752]]]]}";ZM001;ZM;MAYOTTE;MAYOTTE;1;6
"{""type"":""Polygon"",""coordinates"":[[[1.751375,40.794147],[2.009553,40.610599],[2.041779,40.317784],[2.295875,39.941499],[2.207112,39.874076],[2.056,39.942345],[2.026971,40.050927],[1.892529,40.05497],[2.146017,39.653913],[2.265408,39.571002],[2.362763,39.814269],[2.507154,40.071285],[2.592724,40.11763],[2.48436,40.407208],[2.666012,40.654033],[2.694526,40.76195],[2.507776,40.707168],[2.155324,40.762679],[2.005339,40.867081],[1.751375,40.794147]]]}";ZM002;ZM;MAYOTTE;MAYOTTE;2;6
"{""type"":""Polygon"",""coordinates"":[[[5.335451,40.976123],[5.413719,40.821653],[5.408804,40.757638],[5.498319,40.728222],[5.556489,40.66761],[5.576574,40.681055],[5.630926,40.939734],[5.62484,41.002595],[5.528946,41.03928],[5.389502,41.014645],[5.335451,40.976123]]]}";ZD001;ZD;LA REUNION;LA REUNION;1;4
"{""type"":""Polygon"",""coordinates"":[[[-6.116967,42.446383],[-5.972605,42.669019],[-5.805518,42.646937],[-5.763596,42.546952],[-5.60288,42.461153],[-5.371636,42.572345],[-5.49692,42.735725],[-5.600029,42.756431],[-5.592569,42.946328],[-5.762136,42.908846],[-5.805295,43.034561],[-5.671343,43.098179],[-5.840217,43.265321],[-5.795435,43.388823],[-5.606929,43.318107],[-5.552172,43.462707],[-5.846073,43.410163],[-5.980184,43.451921],[-6.187307,43.316122],[-6.375154,43.357935],[-6.533475,43.261692],[-6.430198,43.167924],[-6.086891,43.007327],[-6.099211,42.931166],[-6.307918,42.851981],[-6.294806,42.673256],[-6.116967,42.446383]]]}";ZB001;ZB;MARTINIQUE;MARTINIQUE;1;2
"{""type"":""Polygon"",""coordinates"":[[[-5.980184,43.451921],[-6.262774,43.775091],[-6.394345,43.804702],[-6.602894,43.945881],[-6.850958,44.023913],[-7.15367,43.922928],[-7.247181,43.735808],[-7.173564,43.543862],[-7.001621,43.38272],[-7.024866,43.168177],[-6.863496,42.889497],[-6.637306,42.743858],[-6.563224,42.645734],[-6.523144,42.828008],[-6.6216,43.084423],[-6.307918,42.851981],[-6.099211,42.931166],[-6.086891,43.007327],[-6.430198,43.167924],[-6.533475,43.261692],[-6.375154,43.357935],[-6.187307,43.316122],[-5.980184,43.451921]]]}";ZB002;ZB;MARTINIQUE;MARTINIQUE;2;2
"{""type"":""Polygon"",""coordinates"":[[[-6.116967,42.446383],[-6.261383,42.339804],[-6.374313,42.428696],[-6.587702,42.249947],[-6.514883,42.009045],[-6.393425,41.922564],[-6.221491,42.048888],[-5.78552,41.966856],[-5.616284,41.902155],[-5.582322,41.755407],[-5.40044,41.65465],[-5.19644,41.95809],[-5.251964,42.312896],[-5.371636,42.572345],[-5.60288,42.461153],[-5.763596,42.546952],[-5.805518,42.646937],[-5.972605,42.669019],[-6.116967,42.446383]]]}";ZB004;ZB;MARTINIQUE;MARTINIQUE;4;2
